品牌/命名	.cursorrules	1	# SmartOps Cursor Rules
品牌/命名	.cursorrules	76	smartops-app/
品牌/命名	DUAL_MODEL_ARCHITECTURE.md	5	This implementation introduces a sophisticated dual-model forecasting system that combines the stability of classical statistical methods with the power of modern AI, specifically designed for the SmartOps supply chain risk dashboard.
品牌/命名	ONE_SHOT_FINAL_FIX_GUIDE.md	85	-- c:\Users\a8594\smartops-app\database\fix_suppliers_status.sql
品牌/命名	ONE_SHOT_FINAL_FIX_GUIDE.md	94	cd c:\Users\a8594\smartops-app
品牌/命名	PHASE0_1_COMPLETE_SUMMARY.md	162	smartops-app/
品牌/命名	PHASE0_3_QA_CHECKLIST.md	5	- **專案**：SmartOps App (Vite + React + Supabase)
品牌/命名	README.md	88	git clone https://github.com/your-username/smartops-app.git
品牌/命名	README.md	89	cd smartops-app
品牌/命名	README.md	227	smartops-app/
品牌/命名	database/ingest_rpc.sql	2	-- SmartOps Ingest RPC Functions
品牌/命名	docs/BOM_EXPLOSION.md	19	BOM Explosion (物料清單展開) 是 SmartOps 的核心功能之一,用於將成品 (FG) 需求展開成零組件 (Component) 需求。
品牌/命名	docs/BOM_EXPLOSION.md	297	**維護者**: SmartOps Team  
品牌/命名	docs/BOM_EXPLOSION_SPEC.md	7	**適用範圍**：SmartOps Step A - Component Demand 計算  
品牌/命名	docs/BOM_EXPLOSION_SPEC.md	785	**適用範圍**：SmartOps BOM Explosion MVP 功能
品牌/命名	docs/GLOSSARY.md	1	# SmartOps 術語表
品牌/命名	docs/GLOSSARY.md	207	SmartOps 使用 Google Gemini AI 提供:
品牌/命名	docs/GLOSSARY.md	303	SmartOps 使用的雲端資料庫平台,基於 PostgreSQL。
品牌/命名	docs/GLOSSARY.md	401	**維護者**: SmartOps Team  
品牌/命名	docs/MILESTONE2_INVENTORY_PROJECTION_EVIDENCE.md	10	 RUN  v4.0.18 C:/Users/a8594/smartops-app
品牌/命名	docs/MILESTONE_5_COST_EVIDENCE_PACK.md	122	cd c:\Users\a8594\smartops-app
品牌/命名	docs/QA_GO_LIVE_GATE.md	3	本文件為 **SmartOps 上線前回歸測試** 的完整矩陣，涵蓋：10 種 Upload Type、One-shot、Strict/Best-effort、Error Report、權限與效能。  
品牌/命名	docs/README.md	1	# SmartOps 文件索引
品牌/命名	docs/RELEASE_CHECKLIST.md	1	# SmartOps 上線流程（Staging → Production）
品牌/命名	docs/RELEASE_PR_PLAN.md	167	2. 開新分頁（例如 about:blank），約 30 秒後切回 SmartOps；預期：仍為 BOM Data 頁且為 FG 需求 tab。  
品牌/命名	docs/RESTRUCTURE_REPORT.md	1	# 📁 SmartOps 文件系統重構完成報告
品牌/命名	docs/RESTRUCTURE_REPORT.md	141	### 4. `SmartOps.txt`
品牌/命名	docs/RESTRUCTURE_REPORT.md	153	smartops-app/
品牌/命名	docs/RESTRUCTURE_REPORT.md	162	├── SmartOps.txt                    # 🟡 待確認
品牌/命名	docs/RESTRUCTURE_REPORT.md	268	- [ ] 檢查 `SmartOps.txt` 內容，決定保留或刪除
品牌/命名	docs/SETUP.md	1	# SmartOps 環境設定指南
品牌/命名	docs/SETUP.md	3	> 本文件說明如何從零開始設定 SmartOps 開發和生產環境
品牌/命名	docs/SETUP.md	35	git clone https://github.com/your-username/smartops-app.git
品牌/命名	docs/SETUP.md	36	cd smartops-app
品牌/命名	docs/SETUP.md	69	   - Name: `smartops-production` (或自訂名稱)
品牌/命名	docs/SETUP.md	375	**設定完成!** 🎉 現在可以開始使用 SmartOps 了!
品牌/命名	docs/STRUCTURE.md	1	# SmartOps 文件結構圖
品牌/命名	docs/STRUCTURE.md	8	SmartOps/
品牌/命名	docs/STRUCTURE.md	258	**維護者**: SmartOps Team  
品牌/命名	docs/UX_STATE_PERSISTENCE.md	9	- **P0 現象**：使用者在 Chrome 切到其他分頁後再切回 SmartOps，有時會回到首頁，或遺失當前頁面／Tab。
品牌/命名	docs/UX_STATE_PERSISTENCE.md	11	  - 切回 SmartOps 分頁時，**保留原本頁面（route）與 tab**。
品牌/命名	docs/UX_STATE_PERSISTENCE.md	83	   - 開新分頁（例如 about:blank），約 30 秒後切回 SmartOps。  
品牌/命名	docs/archive/AI-CHAT-SETUP.md	1	# SmartOps AI Chat 對話紀錄系統設置指南
品牌/命名	docs/archive/BOM_EXPLOSION_IMPLEMENTATION.md	183	1. 開啟 SmartOps 應用程式
品牌/命名	docs/archive/BOM_EXPLOSION_TEMPLATE_SPEC.md	224	## SmartOps 上傳注意事項
品牌/命名	docs/archive/BOM_EXPLOSION_UI_IMPLEMENTATION.md	5	本次實施在 SmartOps 應用中加入了 BOM Explosion 執行入口，允許使用者從 UI 觸發 BOM 展開計算，並整合到批次管理和撤銷機制中。
品牌/命名	docs/archive/BOM_EXPLOSION_UI_IMPLEMENTATION.md	117	cd c:\Users\a8594\smartops-app
品牌/命名	docs/archive/COST_ANALYSIS_GUIDE.md	5	成本分析模块已成功集成到 SmartOps 系统中。您现在可以：
品牌/命名	docs/archive/COST_ANALYSIS_GUIDE.md	32	1. 登录 SmartOps 应用
品牌/命名	docs/archive/COST_ANALYSIS_GUIDE.md	298	成本分析模块是 SmartOps 四大核心模块之一，它将帮助您：
品牌/命名	docs/archive/GEMINI_API_QUOTA_ISSUE.md	66	#### 步驟 B：在 SmartOps 中更新 API Key
品牌/命名	docs/archive/GEMINI_API_QUOTA_ISSUE.md	70	如果您的 SmartOps 有設置頁面：
品牌/命名	docs/archive/IMPLEMENTATION_PLAN.md	1	# SmartOps 四大模块功能扩展 - 实施计划
品牌/命名	docs/archive/IMPLEMENTATION_PLAN.md	6	为 SmartOps 系统新增/扩展四个核心管理模块：
品牌/命名	docs/archive/IMPLEMENTATION_SUMMARY.md	5	本專案實作了一個完整的企業級資料上傳、驗證、清洗和寫入系統，專為供應鏈管理 (SmartOps) 設計。系統支援多種資料類型的上傳，並提供智能欄位映射、自動資料驗證清洗，以及 mapping 模板保存功能。
品牌/命名	docs/archive/IMPLEMENTATION_SUMMARY.md	254	smartops-app/
品牌/命名	docs/archive/IMPLEMENTATION_SUMMARY.md	460	psql -U postgres -d smartops < database/upload_mappings_schema.sql
品牌/命名	docs/archive/INTEGRATION_COMPLETE.md	1	# 🎉 SmartOps App - 整合完成報告
品牌/命名	docs/archive/INTEGRATION_COMPLETE.md	295	**🎉 恭喜！SmartOps App 重構成功完成！**
品牌/命名	docs/archive/MATERIAL_COST_IMPLEMENTATION.md	5	已成功實現 **Material Cost Analysis (材料成本分析)** 功能，作為 SmartOps 應用程式 Cost Analysis 模組的一部分。
品牌/命名	docs/archive/MATERIAL_COST_QUICK_START.md	37	1. 登入 SmartOps 應用程式
品牌/命名	docs/archive/NEXT_STEPS.md	1	# 🎯 SmartOps App - 下一步操作指南
品牌/命名	docs/archive/README.md	174	**維護者**: SmartOps Team
品牌/命名	docs/archive/REFACTORING_PROGRESS.md	1	# SmartOps App 重構進度報告
